,Annualized Volatility
SBIN,0.2625819897039952
LT,0.2407520245383363
INFY,0.2406604314318991
RELIANCE,0.22732757549740784
BHARTIARTL,0.22701068770078286
ICICIBANK,0.22074205380986534
HDFCBANK,0.21235641508799252
TCS,0.207561038845531
HINDUNILVR,0.2012993656994479
ITC,0.1993906289780996
