,Annualized Downside Risk
SBIN,0.17298653016059734
INFY,0.16805446767622303
LT,0.16009885068720517
RELIANCE,0.15302520486950225
HDFCBANK,0.14717332679437659
BHARTIARTL,0.1453288642123856
TCS,0.14187975235839392
ICICIBANK,0.14178467798016467
HINDUNILVR,0.1390989439862324
ITC,0.12935108503753787
