,Variance
HINDUNILVR,0.00016079934377380973
LT,0.00023000610047344314
INFY,0.00022983112403566588
HDFCBANK,0.00017894939297231655
SBIN,0.0002736083385591628
RELIANCE,0.0002050707404028955
BHARTIARTL,0.00020449941400945383
ICICIBANK,0.00019336132666745027
TCS,0.00017095867002633346
ITC,0.00015776437668365938
