,95% CVaR
SBIN,-0.035024100093267174
INFY,-0.03375786748935858
LT,-0.032304678796054344
HDFCBANK,-0.030993892184326938
RELIANCE,-0.030344322408627805
BHARTIARTL,-0.029985394254829458
ICICIBANK,-0.028880902043259594
TCS,-0.028741415462300628
HINDUNILVR,-0.028484692275513014
ITC,-0.02617106358533608
