Date,HINDUNILVR,LT,INFY,HDFCBANK,SBIN,RELIANCE,BHARTIARTL,ICICIBANK,TCS,ITC
2021-01-01,2173.49609375,1218.8731689453125,1086.0970458984375,663.9057006835938,253.24234008789065,897.0470581054688,494.2081909179688,510.19146728515625,2534.89697265625,159.71661376953125
2021-01-04,2208.9541015625,1235.4129638671875,1110.052001953125,659.689453125,254.73779296875,898.55908203125,496.0789184570313,514.2536010742188,2631.15966796875,159.38052368164062
2021-01-05,2230.84814453125,1227.613037109375,1114.833984375,664.6744384765625,255.37229919433597,887.3882446289062,493.1049499511719,519.62158203125,2677.51611328125,157.92413330078125
2021-01-06,2200.57861328125,1234.84912109375,1104.7523193359375,661.8092651367188,258.36334228515625,863.986083984375,503.9455871582031,528.7614135742188,2641.590576171875,153.4056396484375
2021-01-07,2156.472900390625,1258.296142578125,1087.56201171875,659.8059692382812,260.7652587890625,862.5869140625,523.0845336914062,523.3451538085938,2625.403564453125,151.4637908935547
2021-01-08,2176.81884765625,1290.671142578125,1130.6025390625,666.98046875,259.22442626953125,872.7647094726562,518.287841796875,524.2639770507812,2701.668212890625,150.49285888671875
2021-01-11,2211.321533203125,1268.6805419921875,1185.8360595703125,676.2048950195312,256.05206298828125,856.3132934570312,524.9073486328125,526.8271484375,2749.756103515625,151.23971557617188
2021-01-12,2162.890380859375,1268.49267578125,1182.00146484375,689.9718627929688,265.11590576171875,883.3036499023438,542.751220703125,530.0187377929688,2748.371337890625,154.18983459472656
2021-01-13,2159.658935546875,1271.030029296875,1195.271240234375,685.1499633789062,278.0770874023437,875.0665893554688,554.7430419921875,538.2398071289062,2734.607177734375,157.77479553222656
2021-01-14,2183.51025390625,1293.6783447265625,1180.92431640625,684.2647094726562,278.4849548339844,884.9058837890625,556.9495239257812,535.1448364257812,2819.38671875,159.940673828125
2021-01-15,2140.359375,1272.5809326171875,1158.9085693359375,683.2864379882812,275.4033203125,874.457275390625,578.1511840820312,525.182861328125,2804.339599609375,162.7040557861328
2021-01-18,2123.472412109375,1255.5709228515625,1130.5595703125,690.9501953125,266.8833312988281,895.4447021484375,563.08935546875,515.656005859375,2794.2783203125,164.1231231689453
2021-01-19,2151.283935546875,1287.3350830078125,1134.5233154296875,700.6171875,270.6448059082031,910.0909423828124,568.221923828125,528.5197143554688,2828.059814453125,163.450927734375
2021-01-20,2144.72900390625,1299.3638916015625,1154.1693115234375,695.0964965820312,274.2249755859375,927.3773803710938,571.9153442382812,532.9203491210938,2869.778564453125,162.55470275878906
2021-01-21,2155.380615234375,1288.6976318359375,1154.384765625,687.0834350585938,267.2458801269531,947.5524291992188,557.717041015625,534.5645751953125,2839.465087890625,159.6045684814453
2021-01-22,2193.341796875,1280.0517578125,1155.3759765625,672.5244750976562,257.1397399902344,925.0756225585938,553.4000244140625,516.2847290039062,2864.834716796875,157.364013671875
2021-01-25,2184.465576171875,1279.300048828125,1141.804443359375,681.5159912109375,254.6471710205078,876.0595092773438,557.1414184570312,520.395263671875,2854.599853515625,155.19810485839844
2021-01-27,2176.910400390625,1277.9373779296875,1121.038330078125,656.707763671875,249.8433532714844,855.2977905273438,547.5958251953125,505.21044921875,2828.36376953125,157.32666015625
