,Maximum Drawdown
INFY,-0.3555720666454314
TCS,-0.3444897842056925
HINDUNILVR,-0.3045578396870471
LT,-0.288779327308309
RELIANCE,-0.2717575121316015
SBIN,-0.23944134526280159
HDFCBANK,-0.23242865197402365
ICICIBANK,-0.22329810113949597
ITC,-0.2031959609250701
BHARTIARTL,-0.17372530037758435
