,95% VaR
INFY,-0.02378342420271604
SBIN,-0.022608203919409164
RELIANCE,-0.021435116793188002
LT,-0.020789418703978466
BHARTIARTL,-0.02036529153577845
HDFCBANK,-0.019948063251701453
TCS,-0.019625866924023506
HINDUNILVR,-0.019166031099934956
ICICIBANK,-0.018789542255655156
ITC,-0.01776028341354071
