Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,917.461669921875,921.6151733398438,914.6926879882812,917.23095703125,897.0470581054688,10015175,535.5499877929688,537.0,526.0999755859375,527.5,505.92626953125,13592625,2880.0,2940.0,2879.0,2928.25,2521.07421875,2681440,274.8999938964844,280.0,274.3999938964844,279.3999938964844,253.2423095703125,24531791,1257.9000244140625,1265.5,1255.800048828125,1260.449951171875,1086.0972900390625,4253550,1283.0,1299.949951171875,1283.0,1297.0,1218.8731689453125,2058419,2395.39990234375,2404.0,2382.0,2387.550048828125,2173.49609375,830096,502.80975341796875,506.8832702636719,498.8343811035156,505.65631103515625,488.0657653808594,10377082,202.11590576171875,206.25643920898438,201.5381622314453,205.91941833496094,159.71661376953125,20279389,720.0,721.5,710.2999877929688,712.5250244140625,663.9057006835938,8810938
2021-01-04,920.7383422851562,922.4920043945312,908.231689453125,918.7769775390625,898.55908203125,24513534,532.2999877929688,535.0,524.2999877929688,531.7000122070312,509.9544982910156,16549750,2950.0,3050.75,2940.949951171875,3039.449951171875,2616.81201171875,5113293,281.8500061035156,283.8999938964844,277.75,281.04998779296875,254.73780822753906,31450608,1269.0,1290.0,1261.1500244140625,1288.25,1110.0516357421875,7208454,1305.0,1322.550048828125,1302.0,1314.5999755859375,1235.4129638671875,4014636,2405.0,2430.0,2400.699951171875,2426.5,2208.953857421875,1614486,507.4721984863281,510.90771484375,502.1717224121094,507.57037353515625,489.9132385253906,13489114,206.06385803222656,207.98968505859375,204.2343292236328,205.48611450195312,159.38052368164062,27927482,719.0,719.0,699.5,708.0,659.689453125,15740192
2021-01-05,908.6931762695312,915.4310913085938,902.6936645507812,907.3548583984375,887.3883056640625,24123091,526.6500244140625,539.9500122070312,523.0,537.25,515.2775268554688,23311516,3039.60009765625,3114.25,3039.60009765625,3093.0,2662.91552734375,5801309,278.04998779296875,282.45001220703125,277.0,281.75,255.372314453125,27393072,1282.0,1299.0,1275.050048828125,1293.800048828125,1114.8341064453125,8145280,1307.0,1313.0,1295.050048828125,1306.300048828125,1227.613037109375,2833637,2405.0,2456.949951171875,2405.0,2450.550048828125,2230.847900390625,2356303,504.5274963378906,507.3740539550781,501.6809387207031,504.5274963378906,486.9762268066406,10689423,204.57135009765625,205.3416748046875,202.78994750976562,203.60842895507812,157.9241180419922,18718244,709.5999755859375,715.375,704.5,713.3499755859375,664.67431640625,14386824
2021-01-06,907.2625122070312,907.3086547851562,879.2264404296875,883.4260864257812,863.9861450195312,46401468,538.75,550.5999755859375,535.8499755859375,546.7000122070312,524.3409423828125,28178838,3100.0,3113.5,3037.199951171875,3051.5,2627.186767578125,3726716,283.0,289.1499938964844,281.3999938964844,285.04998779296875,258.36334228515625,40765708,1300.0,1302.0,1268.050048828125,1282.0999755859375,1104.7523193359375,7161715,1308.0,1330.0,1300.0,1314.0,1234.84912109375,4615963,2445.800048828125,2450.0,2401.60009765625,2417.300048828125,2200.5791015625,1641627,505.5090637207031,521.9503784179688,503.6440734863281,515.6192626953125,497.68212890625,30837593,203.60842895507812,203.6565704345703,196.91616821289062,197.7827911376953,153.40562438964844,50957586,717.5,720.0,706.5499877929688,710.2750244140625,661.8092651367188,22134050
2021-01-07,886.3104248046875,897.6171875,879.2264404296875,881.9954223632812,862.5869750976562,32325918,552.1500244140625,554.4000244140625,539.75,541.0999755859375,518.969970703125,21138034,3075.0,3080.85009765625,3000.25,3032.800048828125,2611.086181640625,3717827,289.0,291.79998779296875,287.0,287.70001220703125,260.7652587890625,30546600,1296.0,1297.6500244140625,1255.5,1262.1500244140625,1087.5621337890625,10954918,1330.0,1346.800048828125,1325.0,1338.949951171875,1258.2962646484375,4270598,2432.0,2432.699951171875,2365.0,2368.85009765625,2156.472900390625,2403881,522.19580078125,544.2320556640625,517.3860473632812,535.2015991210938,516.5831909179688,39444841,198.4568328857422,199.9011993408203,194.60516357421875,195.27920532226562,151.4637908935547,36298522,716.25,716.2999877929688,706.2750244140625,708.125,659.805908203125,19894842
2021-01-08,885.1566772460938,894.5712890625,882.433837890625,892.4022216796875,872.7647705078125,27540187,547.0,547.0999755859375,536.3499755859375,542.0499877929688,519.8812255859375,21937965,3090.0,3128.0,3060.0,3120.89990234375,2686.935791015625,5879039,290.1000061035156,291.3999938964844,285.20001220703125,286.0,259.2244567871094,32543357,1278.25,1316.800048828125,1278.25,1312.0999755859375,1130.602783203125,13186251,1349.800048828125,1382.949951171875,1347.0,1373.4000244140625,1290.6710205078125,4984995,2390.0,2400.0,2360.800048828125,2391.199951171875,2176.818359375,2797948,539.1769409179688,539.61865234375,527.3980712890625,530.2937622070312,511.84613037109375,14538362,196.771728515625,198.36053466796875,192.8237762451172,194.0274200439453,150.4928436279297,58600546,716.0,721.0,711.5499877929688,715.8250122070312,666.98046875,13768764
2021-01-11,894.755859375,894.755859375,873.388427734375,875.58056640625,856.313232421875,33307825,545.1500244140625,546.0,535.0,544.7000122070312,522.4227905273438,19394393,3230.0,3230.0,3146.550048828125,3176.449951171875,2734.761474609375,9508039,288.0,288.20001220703125,279.6000061035156,282.5,256.0520935058594,29703173,1342.0999755859375,1383.3499755859375,1340.0,1376.199951171875,1185.8360595703125,20528626,1382.0,1384.949951171875,1345.0,1350.0,1268.6807861328125,3252470,2425.0,2441.949951171875,2402.10009765625,2429.10009765625,2211.321044921875,2787672,531.5206909179688,544.1339111328125,531.5206909179688,537.0665893554688,518.3833618164062,19892197,196.43470764160156,198.4568328857422,193.7866973876953,194.99034118652344,151.23971557617188,44625924,725.0,732.4500122070312,718.1500244140625,725.7249755859375,676.2048950195312,17331392
2021-01-12,878.2341918945312,904.5396728515625,876.8035278320312,903.1782836914062,883.3036499023438,41161546,541.0,550.6500244140625,537.0999755859375,548.0,525.5878295898438,16388310,3176.449951171875,3210.0,3150.0,3174.85009765625,2733.384765625,3611458,280.0,293.8500061035156,277.8999938964844,292.5,265.11590576171875,44307145,1378.0,1378.0,1360.0,1371.75,1182.001708984375,8309868,1354.0,1366.8499755859375,1344.050048828125,1349.800048828125,1268.49267578125,2836161,2429.800048828125,2433.10009765625,2372.0,2375.89990234375,2162.890380859375,2036708,538.8825073242188,558.513916015625,534.9561767578125,555.3237915039062,536.00537109375,25857074,195.47178649902344,199.22715759277344,194.12371826171875,198.79385375976562,154.18983459472656,36989137,726.2249755859375,743.8499755859375,724.5499877929688,740.5,689.9718017578125,20388156
